Date,Days_after_First_Cases,Cases_Domestic,Deaths_Domestic,DailyConfirmed_Domestic,DailyDeath_Domestic,Cases_Capital,Deaths_Capital,DailyConfirmed_Capital,DailyDeath_Capital,Cases_NonCapital,Deaths_NonCapital,DailyConfirmed_NonCapital,DailyDeath_NonCapital,Cases_Chungcheong,Deaths_Chungcheong,DailyConfirmed_Chungcheong,DailyDeath_Chungcheong,Cases_Honam,Deaths_Honam,DailyConfirmed_Honam,DailyDeath_Honam,Cases_Gyeongbuk,Deaths_Gyeongbuk,DailyConfirmed_Gyeongbuk,DailyDeath_Gyeongbuk,Cases_Gyeongnam,Deaths_Gyeongnam,DailyConfirmed_Gyeongnam,DailyDeath_Gyeongnam,Cases_Gangwon,Deaths_Gangwon,DailyConfirmed_Gangwon,DailyDeath_Gangwon,Cases_Jeju,Deaths_Jeju,DailyConfirmed_Jeju,DailyDeath_Jeju
2020-08-16,210,13537,305,267,0,3981,48,245,0,9556,257,22,0,476,3,6,0,271,2,7,0,6994,191,2,0,445,5,12,0,73,3,0,0,24,0,0,0
2020-08-17,211,13725,305,188,0,4144,48,163,0,9581,257,25,0,483,3,7,0,279,2,8,0,6997,191,3,0,455,5,10,0,74,3,1,0,24,0,0,0
2020-08-18,212,13960,306,235,1,4345,49,201,1,9615,257,34,0,488,3,5,0,288,2,9,0,7004,191,7,0,468,5,13,0,76,3,2,0,24,0,0,0
2020-08-19,213,14243,306,283,0,4597,49,252,0,9646,257,31,0,493,3,5,0,295,2,7,0,7007,191,3,0,480,5,12,0,81,3,5,0,24,0,0,0
2020-08-20,214,14519,307,276,1,4823,50,226,1,9696,257,50,0,506,3,13,0,303,2,8,0,7010,191,3,0,499,5,19,0,86,3,5,0,24,0,0,0
2020-08-21,215,14834,309,315,2,5067,52,244,2,9767,257,71,0,529,3,23,0,319,2,16,0,7017,191,7,0,519,5,20,0,95,3,9,0,24,0,0,0
2020-08-22,216,15149,309,315,0,5306,52,239,0,9843,257,76,0,542,3,13,0,339,2,20,0,7028,191,11,0,529,5,10,0,111,3,16,0,26,0,2,0
2020-08-23,217,15536,309,387,0,5600,52,294,0,9936,257,93,0,570,3,28,0,368,2,29,0,7037,191,9,0,544,5,15,0,126,3,15,0,26,0,0,0
2020-08-24,218,15794,309,258,0,5801,52,201,0,9993,257,57,0,598,3,28,0,380,2,12,0,7047,191,10,0,555,5,11,0,132,3,6,0,26,0,0,0
2020-08-25,219,16058,310,264,1,6013,52,212,0,10045,258,52,1,620,4,22,1,389,2,9,0,7052,192,5,1,567,5,12,0,140,3,8,0,29,0,3,0
2020-08-26,220,16365,312,307,2,6242,54,229,2,10123,258,78,0,639,4,19,0,415,2,26,0,7054,192,2,0,585,5,18,0,158,3,18,0,31,0,2,0
2020-08-27,221,16799,313,434,1,6555,55,313,1,10244,258,121,0,658,4,19,0,469,2,54,0,7067,192,13,0,610,5,25,0,172,3,14,0,32,0,1,0
2020-08-28,222,17158,316,359,3,6839,58,284,3,10319,258,75,0,677,4,19,0,500,2,31,0,7080,192,13,0,628,5,18,0,175,3,3,0,34,0,2,0
2020-08-29,223,17466,321,308,5,7083,63,244,5,10383,258,64,0,695,4,18,0,523,2,23,0,7091,192,11,0,641,5,13,0,175,3,0,0,35,0,1,0
2020-08-30,224,17749,323,283,2,7286,65,203,2,10463,258,80,0,712,4,17,0,533,2,10,0,7126,192,35,0,655,5,14,0,177,3,2,0,37,0,2,0
2020-08-31,225,17987,324,238,1,7469,66,183,1,10518,258,55,0,728,4,16,0,548,2,15,0,7130,192,4,0,673,5,18,0,180,3,3,0,42,0,5,0
2020-09-01,226,18209,324,222,0,7644,66,175,0,10565,258,47,0,744,4,16,0,556,2,8,0,7132,192,2,0,689,5,16,0,184,3,4,0,43,0,1,0
2020-09-02,227,18462,326,253,2,7831,68,187,2,10631,258,66,0,766,4,22,0,569,2,13,0,7146,192,14,0,708,5,19,0,186,3,2,0,44,0,1,0
2020-09-03,228,18650,329,188,3,7979,69,148,1,10671,260,40,2,778,5,12,1,580,2,11,0,7149,192,3,0,726,6,18,1,190,3,4,0,44,0,0,0
2020-09-04,229,18839,331,189,2,8107,71,128,2,10732,260,61,0,805,5,27,0,591,2,11,0,7160,192,11,0,752,6,26,0,193,3,3,0,44,0,0,0
2020-09-05,230,18997,333,158,2,8219,73,112,2,10778,260,46,0,813,5,8,0,601,2,10,0,7167,192,7,0,767,6,15,0,196,3,3,0,45,0,1,0
2020-09-06,231,19149,334,152,1,8336,74,117,1,10813,260,35,0,822,5,9,0,609,2,8,0,7173,192,6,0,772,6,5,0,201,3,5,0,45,0,0,0
2020-09-07,232,19257,336,108,2,8414,76,78,2,10843,260,30,0,830,5,8,0,616,2,7,0,7174,192,1,0,787,6,15,0,201,3,0,0,45,0,0,0
2020-09-08,233,19377,341,120,5,8512,81,98,5,10865,260,22,0,836,5,6,0,628,2,12,0,7175,192,1,0,791,6,4,0,201,3,0,0,45,0,0,0
2020-09-09,234,19521,344,144,3,8612,84,100,3,10909,260,44,0,852,5,16,0,647,2,19,0,7178,192,3,0,802,6,11,0,201,3,0,0,45,0,0,0
2020-09-10,235,19662,346,141,2,8710,86,98,2,10952,260,43,0,877,5,25,0,654,2,7,0,7181,192,3,0,819,6,17,0,202,3,1,0,46,0,1,0
2020-09-11,236,19823,350,161,4,8826,90,116,4,10997,260,45,0,902,5,25,0,663,2,9,0,7183,192,2,0,840,6,21,0,202,3,0,0,47,0,1,0
2020-09-12,237,19941,355,118,5,8912,93,86,3,11029,262,32,2,915,6,13,1,666,3,3,1,7186,192,3,0,851,7,11,1,205,3,3,0,48,0,1,0
2020-09-13,238,20040,358,99,3,8972,96,60,3,11068,262,39,0,926,6,11,0,668,3,2,0,7200,192,14,0,867,7,16,0,206,3,1,0,48,0,0,0
2020-09-14,239,20138,363,98,5,9053,101,81,5,11085,262,17,0,934,6,8,0,671,3,3,0,7201,192,1,0,878,7,11,0,206,3,0,0,48,0,0,0
2020-09-15,240,20229,367,91,4,9124,104,71,3,11105,263,20,1,941,6,7,0,673,3,2,0,7203,193,2,1,885,7,7,0,207,3,1,0,51,0,3,0
2020-09-16,241,20334,367,105,0,9205,104,81,0,11129,263,24,0,946,6,5,0,680,3,7,0,7209,193,6,0,891,7,6,0,207,3,0,0,51,0,0,0
2020-09-17,242,20479,372,145,5,9326,108,121,4,11153,264,24,1,956,6,10,0,681,3,1,0,7211,193,2,0,902,7,11,0,207,3,0,0,51,0,0,0
2020-09-18,243,20588,377,109,5,9408,113,82,5,11180,264,27,0,964,6,8,0,688,3,7,0,7216,193,5,0,906,7,4,0,207,3,0,0,52,0,1,0
2020-09-19,244,20694,378,106,1,9498,113,90,0,11196,265,16,1,971,6,7,0,689,3,1,0,7219,193,3,0,912,8,6,1,207,3,0,0,52,0,0,0
2020-09-20,245,20766,383,72,5,9553,117,55,4,11213,266,17,1,974,6,3,0,689,3,0,0,7222,194,3,1,920,8,8,0,207,3,0,0,52,0,0,0
2020-09-21,246,20821,385,55,2,9593,119,40,2,11228,266,15,0,978,6,4,0,689,3,0,0,7224,194,2,0,928,8,8,0,207,3,0,0,52,0,0,0
2020-09-22,247,20872,388,51,3,9629,122,36,3,11243,266,15,0,980,6,2,0,689,3,0,0,7226,194,2,0,934,8,6,0,209,3,2,0,52,0,0,0
2020-09-23,248,20971,388,99,0,9702,122,73,0,11269,266,26,0,986,6,6,0,691,3,2,0,7231,194,5,0,946,8,12,0,210,3,1,0,52,0,0,0
2020-09-24,249,21080,393,109,5,9794,126,92,4,11286,267,17,1,989,7,3,1,692,3,1,0,7233,194,2,0,954,9,8,1,212,3,2,0,52,0,0,0
